"SongName","ArtistName","AlbumName"
"Losing Hand","Eric Clapton","Reptile"
"Lachrimae Tristes","John Dowland","Unknown Album"
"People Are Strange","The Doors","The Best of The Doors"
"Chantez les bas (Sing ’Em Low)","Louis Armstrong","Louis Armstrong Plays W.C. Handy"
"My Favorite Things","John Coltrane","A Jazz Retrospective"
"The Star-Crossed Lovers","Duke Ellington","Great Paris Concert (Disc 1), The"
"Sinfonietta - I--Allegretto","Leos Janacek (Sir Charles Mackerras, Weiner Philharmoniker)","Sinfonietta, etc"
"Five Spot After Dark","Curtis Fuller","Blues-ette"
"Scherzo no. 4 in E major (op. 54)","Ivo Pogorelich","Chopin: 4 Scherzi"
"Jealousy","Pet Shop Boys","Behaviour"
"J S Bach  V    D Dur (1)","Keith Jarrett","Das Wohltemperierte Klavier Bu"
"Concierto Para Violín Y Orquesta En Re Mayor Op.35 - 01 - Allegro Moderato","Piotr Tchaikovsky","Isaac Stern - A life in music, vol. 6 (Tchaikovsky - Sibelius Violin concertos)"
"Dance Dance Dance","The Dells","The Very Best Of The Dells - Oh What A Night"
"Sophisticated Lady","Duke Ellington and His Orchestra","Woody Allen, from Manhattan to Midnight In Paris"
"La gazza ladra","Gioachino Rossini","Overtures"
"South of the Border","Bing Crosby & Frank Sinatra","50 Original Recordings Disc 2"
"Like a Rolling Stone","Bob Dylan","Highway 61 Revisited"
"Kid A","Radiohead","Kid A"
"Suite Inglesa nº 6 - Prelude","J. S. Bach (Christiane Jaccottet, Cembalo)","Bach - Variaciones Golberg - Suite Inglesa nº 6"
"Mother's Little Helper","Rolling Stones","Forty Licks (CD 1)"
"Lady Jane","Rolling Stones","Grrr! (Greatest Hits Limited Super Deluxe Edition / 5 CD)"
"Archiduque (Beethoven)","Rubinstein, Heifetz, Feuermann. El trío del millón de dólares.","El trío del Archiduque"
